Akkermansia_muciniphila_55290,
Alistipes_finegoldii_56071, 2.59607172e-04, 6.34993729e-03, 1.63777651e-05, 1.70033945e-06
Alistipes_onderdonkii_55464,
Alistipes_putredinis_61533, 2.08002681e-07, 1.05951792e-07, 4.88942660e-06, 7.41810842e-05
Alistipes_shahii_62199, 5.25005948e-03, 3.74478884e-03, 1.40895648e-06, 4.06923400e-06
Bacteroidales_bacterium_58650,
Bacteroides_caccae_53434, 9.70921078e+04, 1.99407550e+07, 2.70071474e-07, 6.55328963e-03
Bacteroides_cellulosilyticus_58046, 2.53575871e+01, 1.93561605e+01, 2.52512941e-02, 4.07230014e-03
Bacteroides_fragilis_54507, 2.87040959e-08, 6.54583931e-07, 3.30565690e-05, 1.58225184e-05
Bacteroides_massiliensis_44749,
Bacteroides_ovatus_58035,
Bacteroides_stercoris_56735, 8.17227107e-03, 9.98081249e-03, 6.26764892e-07, 8.07792837e-07
Bacteroides_thetaiotaomicron_56941, 4.36608064e-04, 1.87706422e-04, 9.39766950e-07, 3.09037317e-06
Bacteroides_uniformis_57318, 3.00611109e-03, 2.21202943e-03, 3.15255777e-06, 4.81935956e-06
Bacteroides_vulgatus_57955, 1.16015147e-03, 2.22948378e-03, 6.45334368e-06, 1.62421937e-06
Bacteroides_xylanisolvens_57185, 2.33348571e-04, 7.22406540e-04, 6.04421521e-06, 8.46396096e-07
Barnesiella_intestinihominis_62208, 4.71865537e-04, 3.04038033e-03, 1.49616525e-05, 1.98983854e-06
Coprococcus_sp_62244,
Dialister_invisus_61905, 4.45847305e+08, 1.05939539e+08, 8.65832512e-03, 3.28070261e-04
Eubacterium_eligens_61678, 2.42743024e-03, 5.97690666e-03, 5.31536288e-06, 3.16451183e-06
Eubacterium_rectale_56927, 1.21897788e-02, 7.57834925e-03, 7.15195353e-07, 4.38597833e-07
Faecalibacterium_prausnitzii_57453, 6.42464500e-04, 2.98962461e-04, 4.49297478e-06, 2.82154036e-06
Odoribacter_splanchnicus_62174, 1.26460689e-02, 6.32901261e-04, 8.03350595e-07, 1.39402092e-05
Oscillibacter_sp_60799, 2.53155103e+08, 5.88060179e+05, 2.66429354e-03, 1.34131777e-02
Parabacteroides_distasonis_56985, 8.03172226e-04, 4.08120300e-03, 7.01175055e-06, 7.72281469e-06
Parabacteroides_merdae_56972, 1.37885658e-03, 8.38490231e-04, 2.86867419e-06, 1.61216250e-05
Phascolarctobacterium_sp_59817, 2.87905475e+01, 1.56598842e+01, 7.34291658e-02, 1.60594678e-05
Prevotella_copri_61740, 1.93021964e+01, 3.78808996e+01, 4.44305469e-04, 7.48497003e-02
Ruminococcus_bicirculans_59300, 7.42736622e+01, 8.54529337e+01, 6.45803331e+01, 1.29287928e-02
Ruminococcus_bromii_62047, 3.08691795e+01, 2.04093278e+01, 5.60230932e-02, 1.08671151e-02
